Scientific Name,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac Qui Parle,Lake,Lake of the Woods,Le Sueur,Lincoln,Lyon,Mahnomen,Marshall,Martin,McLeod,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,Saint Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine
Bombus impatiens,x,x,x,,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,,,,,x,x,x,,,x,,x,x,x,,x,,x,,x,x,,x,x,,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,
Bombus insularis,,,,x,,,,,x,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,
Bombus melanopygus,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Bombus nevadensis,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,,,,,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,x
Bombus pensylvanicus,,x,x,,x,x,,x,,,,x,,x,,,x,,x,,,x,x,x,x,x,x,,,,,x,,x,x,,x,,,,x,x,,x,x,,x,x,,x,x,,x,,x,x,,,x,,x,x,x,x,x,,x,x,,,x,x,x,x,x,x,,x,x,,,x,x,,,,x
Bombus perplexus,x,x,x,x,,,,,x,x,x,,,x,x,x,,,,,,,,,,,x,,x,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,x,,x,,,,,,,,,,x,x,,,,,,,,,,x,,,x,,,,,
Bombus rufocinctus,x,x,x,x,x,,,,x,x,x,,,x,x,x,,x,x,x,,x,x,,x,,x,,x,x,x,,,,x,x,x,x,x,,x,,x,x,,,,x,x,,x,x,,x,,,x,x,,x,x,x,x,,,,,x,x,x,x,,x,,x,,x,,x,x,,x,,x,,x,
Bombus sandersoni,x,x,x,x,x,,,,,,x,,,,x,x,,,,,,,,,,,,,x,,x,,x,,x,x,,x,x,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Bombus suckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Bombus ternarius,x,x,x,x,x,x,,,x,x,x,,x,x,x,x,,x,x,,x,,x,x,,x,x,x,x,x,x,,x,x,x,x,,x,x,,x,,x,x,,,,x,x,,,,,x,x,x,x,x,,x,x,x,x,,x,x,,x,x,x,,,x,,,,x,x,x,x,,x,,x,x,,
